profileUrl,vmid,name,firstName,lastName,title,companyName,pastRole,companyId,companyUrl,location,duration,profileImageUrl,sharedConnectionsCount,query,timestamp
"https://www.linkedin.com/sales/people/ACwAABF2DacBP009Z1ua4o0F9oAlj6j3JudjtTg,NAME_SEARCH,MvTu?_ntb=NPLCX%2B8FTMSbGqrKo%2Bsxvw%3D%3D",ACwAABF2DacBP009Z1ua4o0F9oAlj6j3JudjtTg,Marcus Mayer,Marcus,Mayer,Chief Financial Officer,Kelvion ,CFO bei AVENTICS (2016–2018),10297346,changed,"Rotenburg (Wümme), Niedersachsen, Deutschland",9 Monate in dieser Position und im Unternehmen,https://media.licdn.com/dms/image/C4E03AQH6ewr1HyEvdA/profile-displayphoto-shrink_100_100/0?e=1574294400&v=beta&t=TvPU5E6XaEgRgzNvewFBfsBRv1NmRvPtB3Bga58OX4Q,1,https://www.linkedin.com/sales/search/people?companySize=F%2CG%2CH%2CI&doFetchHeroCard=false&geoIncluded=101282230&industryExcluded=12%2C4%2C41%2C75%2C96&logHistory=true&logId=3476645376&page=1&rsLogId=72276884&searchSessionId=NPLCX%2B8FTMSbGqrKo%2Bsxvw%3D%3D&tenureAtCurrentCompany=1&titleIncluded=CTO%3A153%2CChief%2520Digital%2520Officer%2520(CDO)%3A25884%2CCEO%3A8%2CIT-Leiter%3A688%2CCIO%3A203%2CCFO%3A68%2CIT%2520Director%3A163%2CVice%2520President%2520IT%3A747%2CVice%2520President%2520Technologie%3A759%2CIT-Manager%3A65%2CLeitender%2520IT-Manager%3A1054%2CEnterprise%2520Solutions%2520Architect%3A10998&titleTimeScope=CURRENT,2019-09-16T11:14:03.969Z
"https://www.linkedin.com/sales/people/ACwAAAAH708BTPvuMgFgLIrji9o4mqccLO68Dgc,NAME_SEARCH,Lbvj?_ntb=NPLCX%2B8FTMSbGqrKo%2Bsxvw%3D%3D",ACwAAAAH708BTPvuMgFgLIrji9o4mqccLO68Dgc,Uwe Birke,Uwe,Birke,Chief Information Officer,Rotkäppchen-Mumm Sektkellereien GmbH ,Global Head of IT Architecture & Mergers & Acquisitions bei Electrolux   (2011–2019),13987621,https://www.linkedin.com/company/13987621,Frankfurt/Rhein-Main,1 Monat in dieser Position und im Unternehmen,https://media.licdn.com/dms/image/C4D03AQExKvxIIOw4ug/profile-displayphoto-shrink_100_100/0?e=1574294400&v=beta&t=loEXbWsxKzjZnpIODR9ZgAjkeURN0RjBv7ik0uMEq9Q,1,https://www.linkedin.com/sales/search/people?companySize=F%2CG%2CH%2CI&doFetchHeroCard=false&geoIncluded=101282230&industryExcluded=12%2C4%2C41%2C75%2C96&logHistory=true&logId=3476645376&page=1&rsLogId=72276884&searchSessionId=NPLCX%2B8FTMSbGqrKo%2Bsxvw%3D%3D&tenureAtCurrentCompany=1&titleIncluded=CTO%3A153%2CChief%2520Digital%2520Officer%2520(CDO)%3A25884%2CCEO%3A8%2CIT-Leiter%3A688%2CCIO%3A203%2CCFO%3A68%2CIT%2520Director%3A163%2CVice%2520President%2520IT%3A747%2CVice%2520President%2520Technologie%3A759%2CIT-Manager%3A65%2CLeitender%2520IT-Manager%3A1054%2CEnterprise%2520Solutions%2520Architect%3A10998&titleTimeScope=CURRENT,2019-09-16T11:14:03.971Z
"https://www.linkedin.com/sales/people/ACwAAAIj5-wBDO31rI5ptTLGGj8X8wAQMPnrU2c,NAME_SEARCH,HrIp?_ntb=NPLCX%2B8FTMSbGqrKo%2Bsxvw%3D%3D",ACwAAAIj5-wBDO31rI5ptTLGGj8X8wAQMPnrU2c,Matthias Schoenberg,Matthias,Schoenberg,Chief Executive Officer,SIMONA AG ,"President EMEA, Vice President Axalt group bei Axalta   (2015–2019)",1260799,https://www.linkedin.com/company/1260799,"Oberursel (Taunus), Hessen, Deutschland",2 Monate in dieser Position und im Unternehmen,https://media.licdn.com/dms/image/C4D03AQFeOKFEcfg-Iw/profile-displayphoto-shrink_100_100/0?e=1574294400&v=beta&t=yWyQ0s-tgUQhqcWrJ4-PEKV6BL9RVgcD0MwhP-J3dtQ,,https://www.linkedin.com/sales/search/people?companySize=F%2CG%2CH%2CI&doFetchHeroCard=false&geoIncluded=101282230&industryExcluded=12%2C4%2C41%2C75%2C96&logHistory=true&logId=3476645376&page=1&rsLogId=72276884&searchSessionId=NPLCX%2B8FTMSbGqrKo%2Bsxvw%3D%3D&tenureAtCurrentCompany=1&titleIncluded=CTO%3A153%2CChief%2520Digital%2520Officer%2520(CDO)%3A25884%2CCEO%3A8%2CIT-Leiter%3A688%2CCIO%3A203%2CCFO%3A68%2CIT%2520Director%3A163%2CVice%2520President%2520IT%3A747%2CVice%2520President%2520Technologie%3A759%2CIT-Manager%3A65%2CLeitender%2520IT-Manager%3A1054%2CEnterprise%2520Solutions%2520Architect%3A10998&titleTimeScope=CURRENT,2019-09-16T11:14:03.971Z
"https://www.linkedin.com/sales/people/ACwAAAHYJ54BzVoSfauUQ6YmZpIlN4Elg0IAKA4,NAME_SEARCH,l5HS?_ntb=NPLCX%2B8FTMSbGqrKo%2Bsxvw%3D%3D",ACwAAAHYJ54BzVoSfauUQ6YmZpIlN4Elg0IAKA4,Jens R. Kessler,Jens,R. Kessler,CTO,Südwestdeutsche Medienholding GmbH ,Chief Information Officer bei Universal Music Group   (2012–2018),3336361,https://www.linkedin.com/company/3336361,Metropolregion München,9 Monate in dieser Position und im Unternehmen,https://media.licdn.com/dms/image/C5603AQGLujY4XLV3Tw/profile-displayphoto-shrink_100_100/0?e=1574294400&v=beta&t=PmM9mVus_ilu-o2o-oSG6-mIQsyJm0v8quGs3MqBnmQ,,https://www.linkedin.com/sales/search/people?companySize=F%2CG%2CH%2CI&doFetchHeroCard=false&geoIncluded=101282230&industryExcluded=12%2C4%2C41%2C75%2C96&logHistory=true&logId=3476645376&page=1&rsLogId=72276884&searchSessionId=NPLCX%2B8FTMSbGqrKo%2Bsxvw%3D%3D&tenureAtCurrentCompany=1&titleIncluded=CTO%3A153%2CChief%2520Digital%2520Officer%2520(CDO)%3A25884%2CCEO%3A8%2CIT-Leiter%3A688%2CCIO%3A203%2CCFO%3A68%2CIT%2520Director%3A163%2CVice%2520President%2520IT%3A747%2CVice%2520President%2520Technologie%3A759%2CIT-Manager%3A65%2CLeitender%2520IT-Manager%3A1054%2CEnterprise%2520Solutions%2520Architect%3A10998&titleTimeScope=CURRENT,2019-09-16T11:14:03.971Z
"https://www.linkedin.com/sales/people/ACwAABFoEjUBCplJHLk4sbq9sHb5WNjWPMz6qoU,NAME_SEARCH,bdV8?_ntb=NPLCX%2B8FTMSbGqrKo%2Bsxvw%3D%3D",ACwAABFoEjUBCplJHLk4sbq9sHb5WNjWPMz6qoU,Stephanie Holdt,Stephanie,Holdt,Chief Financial Officer ,USG ,Vice President Controlling bei Knauf   (2015–2018),166729,https://www.linkedin.com/company/166729,Metropolregion München,9 Monate in dieser Position und im Unternehmen,https://media.licdn.com/dms/image/C5603AQGCCp-_HuPOBg/profile-displayphoto-shrink_100_100/0?e=1574294400&v=beta&t=QJFbsmkPBUlIKkDq3svQcKjYIGiPGzasQS2nUYzhDtg,,https://www.linkedin.com/sales/search/people?companySize=F%2CG%2CH%2CI&doFetchHeroCard=false&geoIncluded=101282230&industryExcluded=12%2C4%2C41%2C75%2C96&logHistory=true&logId=3476645376&page=1&rsLogId=72276884&searchSessionId=NPLCX%2B8FTMSbGqrKo%2Bsxvw%3D%3D&tenureAtCurrentCompany=1&titleIncluded=CTO%3A153%2CChief%2520Digital%2520Officer%2520(CDO)%3A25884%2CCEO%3A8%2CIT-Leiter%3A688%2CCIO%3A203%2CCFO%3A68%2CIT%2520Director%3A163%2CVice%2520President%2520IT%3A747%2CVice%2520President%2520Technologie%3A759%2CIT-Manager%3A65%2CLeitender%2520IT-Manager%3A1054%2CEnterprise%2520Solutions%2520Architect%3A10998&titleTimeScope=CURRENT,2019-09-16T11:14:03.971Z
"https://www.linkedin.com/sales/people/ACwAAA_eGTgB5QvhzfHyliN75v3YC4Zf8iwHWtI,NAME_SEARCH,EYj-?_ntb=NPLCX%2B8FTMSbGqrKo%2Bsxvw%3D%3D",ACwAAA_eGTgB5QvhzfHyliN75v3YC4Zf8iwHWtI,Nisar Al-Hasan,Nisar,Al-Hasan,Chief Technology Officer,BMTS Technology GmbH & Co. KG ,Director Growth and Strategy bei BMTS Technology GmbH & Co. KG   (2019–2019),11541539,https://www.linkedin.com/company/11541539,"Stuttgart, Baden-Württemberg, Deutschland",3 Monate in dieser Position  9 Monate im Unternehmen,https://media.licdn.com/dms/image/C4E03AQFkB2e0sy37Uw/profile-displayphoto-shrink_100_100/0?e=1574294400&v=beta&t=qjO4Hmb6nYMLVnrbIURNxfe9b9dCzOTD2CafxXSmHBU,,https://www.linkedin.com/sales/search/people?companySize=F%2CG%2CH%2CI&doFetchHeroCard=false&geoIncluded=101282230&industryExcluded=12%2C4%2C41%2C75%2C96&logHistory=true&logId=3476645376&page=1&rsLogId=72276884&searchSessionId=NPLCX%2B8FTMSbGqrKo%2Bsxvw%3D%3D&tenureAtCurrentCompany=1&titleIncluded=CTO%3A153%2CChief%2520Digital%2520Officer%2520(CDO)%3A25884%2CCEO%3A8%2CIT-Leiter%3A688%2CCIO%3A203%2CCFO%3A68%2CIT%2520Director%3A163%2CVice%2520President%2520IT%3A747%2CVice%2520President%2520Technologie%3A759%2CIT-Manager%3A65%2CLeitender%2520IT-Manager%3A1054%2CEnterprise%2520Solutions%2520Architect%3A10998&titleTimeScope=CURRENT,2019-09-16T11:14:03.971Z
"https://www.linkedin.com/sales/people/ACwAAACE2e4Bs-aUAmruP_XOBqV9qX47j1O1onk,NAME_SEARCH,l2Fo?_ntb=NPLCX%2B8FTMSbGqrKo%2Bsxvw%3D%3D",ACwAAACE2e4Bs-aUAmruP_XOBqV9qX47j1O1onk,Daniel Seibert,Daniel,Seibert,Member of the Executive Board & Chief Financial Officer,RAUMEDIC ,CFO / Management Board bei Nanogate SE   (2012–2018),1099723,https://www.linkedin.com/company/1099723,"Helmbrechts, Bayern, Deutschland",6 Monate in dieser Position und im Unternehmen,https://media.licdn.com/dms/image/C4E03AQHzZJuu-VWOqA/profile-displayphoto-shrink_100_100/0?e=1574294400&v=beta&t=tZ4qie1-9lc7dQ79sAqxPVu6DyMhcjuXrgFCyguYFOg,,https://www.linkedin.com/sales/search/people?companySize=F%2CG%2CH%2CI&doFetchHeroCard=false&geoIncluded=101282230&industryExcluded=12%2C4%2C41%2C75%2C96&logHistory=true&logId=3476645376&page=1&rsLogId=72276884&searchSessionId=NPLCX%2B8FTMSbGqrKo%2Bsxvw%3D%3D&tenureAtCurrentCompany=1&titleIncluded=CTO%3A153%2CChief%2520Digital%2520Officer%2520(CDO)%3A25884%2CCEO%3A8%2CIT-Leiter%3A688%2CCIO%3A203%2CCFO%3A68%2CIT%2520Director%3A163%2CVice%2520President%2520IT%3A747%2CVice%2520President%2520Technologie%3A759%2CIT-Manager%3A65%2CLeitender%2520IT-Manager%3A1054%2CEnterprise%2520Solutions%2520Architect%3A10998&titleTimeScope=CURRENT,2019-09-16T11:14:03.971Z
"https://www.linkedin.com/sales/people/ACwAAAviENgB-j0_l240q7jltKUDWLVfazrDv70,NAME_SEARCH,r04z?_ntb=NPLCX%2B8FTMSbGqrKo%2Bsxvw%3D%3D",ACwAAAviENgB-j0_l240q7jltKUDWLVfazrDv70,Philipp Lübcke,Philipp,Lübcke,CIO / Geschäftsbereichsleiter IT,TEAG Thüringer Energie AG ,"CIO, Bereichsleiter IT bei Mainova AG   (2013–2019)",7295720,https://www.linkedin.com/company/7295720,"Frankfurt am Main, Hessen, Deutschland",1 Monat in dieser Position und im Unternehmen,https://media.licdn.com/dms/image/C4D03AQHt0snLkgC9Qg/profile-displayphoto-shrink_100_100/0?e=1574294400&v=beta&t=IgLM90abzeePcJtUXK6S3249buQuE5Ifj9Rh8-17nEc,2,https://www.linkedin.com/sales/search/people?companySize=F%2CG%2CH%2CI&doFetchHeroCard=false&geoIncluded=101282230&industryExcluded=12%2C4%2C41%2C75%2C96&logHistory=true&logId=3476645376&page=1&rsLogId=72276884&searchSessionId=NPLCX%2B8FTMSbGqrKo%2Bsxvw%3D%3D&tenureAtCurrentCompany=1&titleIncluded=CTO%3A153%2CChief%2520Digital%2520Officer%2520(CDO)%3A25884%2CCEO%3A8%2CIT-Leiter%3A688%2CCIO%3A203%2CCFO%3A68%2CIT%2520Director%3A163%2CVice%2520President%2520IT%3A747%2CVice%2520President%2520Technologie%3A759%2CIT-Manager%3A65%2CLeitender%2520IT-Manager%3A1054%2CEnterprise%2520Solutions%2520Architect%3A10998&titleTimeScope=CURRENT,2019-09-16T11:14:03.972Z
